start_date,end_date,firm_title,mode,sample_size,primary_lnc,primary_alp,primary_green,primary_onenation,primary_unitedaustralia,primary_other,primary_undecided,tpp_lnc,tpp_alp,tpp_undecided
2010-03-13,2010-03-21,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435,0.565,NA
1998-08-01,1998-08-09,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,0.58,NA
2007-06-02,2007-06-03,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,0.58,NA
2009-10-07,2009-10-08,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,0.58,NA
2010-03-27,2010-04-04,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,0.58,NA
2001-03-31,2001-04-08,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405,0.595,NA
2001-04-14,2001-04-22,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405,0.595,NA
2001-04-28,2001-05-06,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405,0.595,NA
2007-04-07,2007-04-15,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405,0.595,NA
2007-05-12,2007-05-13,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405,0.595,NA
2009-09-19,2009-09-27,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405,0.595,NA
2015-09-26,2015-10-05,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,0.44,NA
2015-10-10,2015-10-18,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,0.44,NA
2015-11-07,2015-11-15,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,0.44,NA
2015-11-21,2015-11-29,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,0.44,NA
2001-05-12,2001-05-20,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,0.61,NA
2007-03-10,2007-03-11,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,0.61,NA
2007-04-21,2007-04-29,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,0.61,NA
2007-09-29,2007-09-30,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,0.61,NA
2009-08-22,2009-08-30,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,0.61,NA
2009-10-31,2009-11-01,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,0.61,NA
1998-04-15,1998-04-16,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,0.47,NA
2010-08-21,2010-08-21,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4875,0.5125,NA
